調査番号,分類,学校への確認事項,回答方式,添付を求める資料,判定,問題がある場合のリスク,教育委員会が取るべき措置,根拠資料ID,備考
Q15,個人情報,非会員又は未加入者の情報をPTAが把握できる状態になっていないか,なっていない／なっている／要確認,名簿項目・アクセス権限・連絡対象者抽出方法,なっている場合は要是正,非会員特定のために学校情報へ依存する危険がある,非会員情報をPTAに渡さない運用へ改める,L008・P001,
Q16,連絡ツール,学校連絡ツールでPTA加入・会費・役員選出・免除申請等を送信していないか,送信なし／送信あり／要確認,送信文面・送信主体・配信対象の説明,送信ありの場合は要是正,学校手続との誤認・目的外利用の問題が生じる,PTA内部連絡はPTA独自手段に分離する,L008・L010・L012・P001,
Q17,配布回収,児童経由でPTA加入申込・会費・免除書類・診断書等を回収していないか,回収なし／回収あり／要確認,配布回収方法・提出書類一覧,回収ありの場合は要是正,児童を介した心理的圧迫・個人情報管理リスクが生じる,児童経由回収を停止しPTA独自手続に切り替える,L008・L010・P001,
Q18,入学式,入学式又は学校説明会の直後にPTA加入・役員選出・くじ引きを実施していないか,実施なし／実施あり／要確認,入学式次第・説明会資料・PTA説明時間割,実施ありの場合は要是正,学校行事との混同により任意加入性が損なわれる,入学式本体とPTA手続を時間・資料・説明者で分離する,L003・L018・M001・L010・L012,
Q19,学校施設,PTAの学校施設利用について目的外使用として確認しているか,確認あり／確認なし／要確認,施設使用許可手続・許可条件・使用記録,確認なしの場合は要是正,施設利用が当然視され学校運営との混同が生じる,施設利用許可時に任意加入・個人情報・会費徴収の適正性を確認する,L003・L018・M001,
Q20,学校施設,PTAの施設利用許可に任意加入・入会申込記録・個人情報・会費徴収の適正性確認を条件としているか,条件あり／条件なし／要確認,施設利用許可条件・PTAとの確認文書,条件なしの場合は要検討,不適切運用を学校施設が支える構造が残る,改善確認まで施設利用又は学校関与を制限する,L003・L018・M001・P001,
Q21,学校施設,学校施設内でPTA説明会・役員選出・会費徴収を行う際に学校手続との混同防止措置を取っているか,措置あり／措置なし／要確認,会場案内・説明資料・実施記録,措置なしの場合は要是正,学校が任意団体手続を主催しているとの誤認が生じる,時間・場所・説明者・資料を分離しPTA主催であることを明示する,L003・L018・M001・L010,
Q22,教職員関与,教職員がPTA入会管理・会費徴収・会計・役員選出・免除審査を担っていないか,担っていない／担っている／要確認,事務分掌・PTA事務内容一覧・職専免関係資料,担っている場合は要精査,職務専念義務・働き方改革との衝突が生じる,学校関与を連絡調整に限定する,L015・M002,
Q23,教職員関与,PTA事務に職務専念義務免除又は兼職兼業許可等を用いている場合その根拠文書があるか,あり／なし／該当なし／要確認,職専免承認記録・規則・要綱・運用通知,なし又は不明の場合は要精査,私的団体事務を公務化している疑義が生じる,根拠・範囲・時間・対象事務を確認し本来事務をPTAに戻す,L015・L016,
Q24,教職員関与,学校がPTAに関与する範囲を連絡調整に限定しているか,限定済み／本来事務に関与／要確認,事務分掌・PTAとの役割分担表・校務分掌,本来事務に関与の場合は要是正,任意団体事務が学校職務に吸収される,入会・会費・名簿・役員・会計はPTAに戻し学校は連絡調整に限定する,L015・M002,
Q25,管理職兼任,校長・副校長・教頭がPTA副会長・会計・監査等にあて職で入っていないか,入っていない／入っている／要確認,PTA規約・役員名簿・職務分担表,入っている場合は要見直し,利益相反・監視機能欠如・社会教育法12条との矛盾が生じる,学校管理職のPTA役員兼任を見直す,L003・L004・L005・L015・L016・L018,
Q26,管理職兼任,施設利用・個人情報提供・会費徴収を判断する学校管理職がPTA側役員を兼ねていないか,兼ねていない／兼ねている／要確認,PTA役員名簿・施設利用許可者・個人情報管理責任者一覧,兼ねている場合は要見直し,管理する側と利用する側の責任分界が曖昧になる,施設管理・個人情報管理・会計関与とPTA役員を分離する,L003・L005・L008・L018・P001,
Q27,通知整備,教育委員会が全校向けにPTA任意加入と学校関与の分離原則を通知しているか,通知済み／未通知／要確認,教育委員会通知・校長会資料,未通知の場合は要対応,学校ごとの慣行が放置される,全校通知と実態調査を実施する,L001・L003・L005・L008・L015,
Q28,実態調査,教育委員会が各校PTAの入会申込記録・会費徴収・名簿利用・施設利用・教職員関与の実態を把握しているか,把握済み／未把握／要確認,全校調査結果・学校別回答一覧,未把握の場合は要対応,問題の有無を教育委員会が把握できない,全校調査票を作成し報告を求める,L001・L003・L008・L015・M001・P001,
Q29,是正措置,問題が確認された学校について施設利用・連絡ツール利用・学校徴収金処理等を見直しているか,見直し済み／未対応／要確認,改善計画・学校への指導記録・PTAとの協議記録,未対応の場合は要是正,違法・不適切運用が継続する,改善完了まで学校関与を停止又は制限する,L003・L008・L015・L018・M001・P001,
Q30,資料保存,入会申込記録・同意書・会費徴収資料・名簿提供記録の保存年限と管理責任を定めているか,定めあり／定めなし／要確認,保存規程・管理台帳・廃棄ルール,定めなしの場合は要整備,後日検証ができず責任所在が不明確になる,PTAと学校の保管資料を分け保存年限と管理責任を明確化する,L001・L008・P001,
Q31,保護者説明,保護者に対し学校とPTAが別主体であることを説明するFAQ又は案内を用意しているか,あり／なし／要確認,FAQ・保護者向け案内・説明会資料,なしの場合は要整備,誤認や苦情が繰り返される,任意加入・非加入不利益なし・個人情報・会費分離を説明する資料を整備する,L010・L011・P001,
